City,ID,Country,latitude,longitude,Date,Temperature,Cloudiness,Humidity,Wind Speed
chingola,919009,ZM,-12.53,27.88,1588348186,292.13,2,60,2.31
acari,3948613,PE,-15.43,-74.62,1588348187,299.37,63,45,3.86
palmer,4946620,US,42.16,-72.33,1588348189,287.89,90,87,1.5
adre,245669,TD,13.47,22.2,1588348190,310.97,0,7,3.91
bathsheba,3374083,BB,13.22,-59.52,1588348191,303.15,75,62,10.3
nago,1856068,JP,26.59,127.98,1588348192,295.03,90,94,4.1
tautira,4033557,PF,-17.73,-149.15,1588348193,298.15,20,83,1.0
tenenkou,2449938,ML,14.46,-4.92,1588348195,315.35,40,12,1.1
mount isa,2065594,AU,-20.73,139.5,1588348196,287.15,83,33,3.1
zhangye,1785036,CN,38.93,100.45,1588348198,291.15,0,12,1.79
hope,4115181,US,33.67,-93.59,1588347931,294.26,74,56,1.34
portoferraio,3170094,IT,42.81,10.31,1588348200,292.15,75,52,1.0
road town,3577430,VG,18.42,-64.62,1588348065,302.15,40,70,5.1
port alberni,6111632,CA,49.24,-124.8,1588347926,281.2,60,91,0.89
lebedyn,613273,UA,50.59,34.48,1588348204,289.55,45,75,1.65
barinas,3648546,VE,8.62,-70.21,1588347964,303.58,90,53,4.44
coahuayana,4013679,MX,18.73,-103.68,1588348206,300.15,40,39,1.26
ukiah,5404476,US,39.15,-123.21,1588348208,282.69,1,65,1.79
ipameri,3461151,BR,-17.72,-48.16,1588348209,298.32,0,44,1.1
